mean_degree,degree_variance,density,radius_by_leaps,diameter_by_leaps,min_length,max_length,radius_by_length,diameter_by_length,total_data_rate,block_rate
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1882.4166941266697,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1639.4892338855138,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1882.4166941266697,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1639.4892338855138,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
7.4,2.933333333333333,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1882.4166941266697,3202.220632439111,10320,0.0
7.4,3.1555555555555554,0.8222222222222222,1,2,239.02331360824977,3202.220632439111,1979.0213797711422,3202.220632439111,10320,0.0
