,Average degree,Degree variance,Density,Transitivity,Node connectivity,Edge connectivity,Cycle basis,Estrada index,Average clustering by hops,Average clustering by length,Wiener index by hops,Wiener index by length,Radius by hops,Radius by length,Diameter by hops,Diameter by length,Min length,Max length,Blocking coefficient
0,3.2,6.622222222222223,0.35555555555555557,0.3230769230769231,1,2,7,75.69761545929353,0.8480158730158731,0.2644283693977737,74.0,107852.45935966089,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.4
1,3.2,6.622222222222223,0.35555555555555557,0.3230769230769231,1,2,7,75.69761545929362,0.8480158730158731,0.3011986830235006,74.0,109878.86846373665,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
2,3.2,6.622222222222223,0.35555555555555557,0.3230769230769231,1,2,7,75.69761545929373,0.8480158730158731,0.29737702973083313,74.0,110115.11877211154,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.4
3,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726965,0.8194444444444444,0.2688319501459583,74.0,107194.43166621926,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.4
4,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.7293777272698,0.8194444444444444,0.3169355498030173,74.0,109037.82617562707,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
5,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726983,0.8194444444444444,0.31537623742054255,74.0,109228.29315751721,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.35555555555555557
6,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726972,0.8194444444444444,0.2702225804699778,74.0,108377.99775368259,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.4
7,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.7293777272695,0.8194444444444444,0.3174419357396306,74.0,108549.354879234,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
8,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726968,0.8194444444444444,0.317499721192266,74.0,109093.55277886351,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.35555555555555557
9,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.7293777272699,0.8194444444444444,0.27627716325244506,74.0,109428.96942687959,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.37777777777777777
10,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726969,0.8194444444444444,0.29631062507704414,74.0,106021.84969193186,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
11,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726983,0.8194444444444444,0.30457521265129484,74.0,106884.63985029953,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.35555555555555557
12,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726983,0.8194444444444444,0.2692954974251852,74.0,107468.87312364811,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.4
13,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726955,0.8194444444444444,0.31440079672762833,74.0,109918.68844301577,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.35555555555555557
14,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.7293777272697,0.8194444444444444,0.3118116798629945,74.0,109962.53952516554,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.37777777777777777
15,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.7293777272697,0.8194444444444444,0.2647832609613353,74.0,107545.56585833241,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.4
16,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726989,0.8194444444444444,0.31608255023479376,74.0,108021.99788299408,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
17,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726996,0.8194444444444444,0.3162346819838649,74.0,108319.51368814004,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
18,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,69.84981040695571,0.8194444444444444,0.2944352246267951,74.0,108731.79683548243,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.37777777777777777
19,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,69.84981040695558,0.8194444444444444,0.2807984333974863,74.0,106559.38864887178,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.3333333333333333
20,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,69.84981040695553,0.8194444444444444,0.28568423743601823,74.0,106809.62028364147,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.35555555555555557
21,3.2,6.622222222222223,0.35555555555555557,0.3230769230769231,1,2,7,75.69761545929359,0.8480158730158731,0.30366194302139615,74.0,110746.2192602157,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
22,3.2,6.622222222222223,0.35555555555555557,0.3230769230769231,1,2,7,75.6976154592937,0.8480158730158731,0.29604849300155855,74.0,110798.26380390674,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.35555555555555557
23,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726964,0.8194444444444444,0.2636994253825887,74.0,107002.24051474105,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.37777777777777777
24,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726975,0.8194444444444444,0.3194889703215048,74.0,109905.17697210608,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3111111111111111
25,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.7293777272698,0.8194444444444444,0.31413786121186005,74.0,109911.4381893124,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3111111111111111
26,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726979,0.8194444444444444,0.2577530377601025,74.0,106961.97537796608,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.4
27,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726969,0.8194444444444444,0.3199953562581181,74.0,109416.70567571305,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3111111111111111
28,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726985,0.8194444444444444,0.31626134498358344,74.0,109776.69781065875,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3333333333333333
29,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726962,0.8194444444444444,0.2764015755596998,74.0,109963.4786160997,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.37777777777777777
30,3.2,5.733333333333333,0.35555555555555557,0.3442622950819672,1,2,7,70.72937772726976,0.8194444444444444,0.2988640455955317,74.0,106889.20048841089,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.3111111111111111
