,Average degree,Degree variance,Density,Transitivity,Node connectivity,Edge connectivity,Cycle basis,Estrada index,Average clustering by hops,Average clustering by length,Wiener index by hops,Wiener index by length,Radius by hops,Radius by length,Diameter by hops,Diameter by length,Min length,Max length,Blocking coefficient
0,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227504,0.8805555555555555,0.3174181039182394,76.0,118376.36187564934,1,3202.220632439111,2,5543.945991974154,412.3553057760516,3202.220632439111,0.6
1,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.3838928642253664,76.0,120424.33047799514,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6
2,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227426,0.8805555555555555,0.38768466095253645,76.0,120608.53624267901,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6222222222222222
3,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227376,0.8805555555555555,0.31870945920984967,76.0,118044.30936078799,1,3202.220632439111,2,5543.945991974154,412.3553057760516,3202.220632439111,0.6
4,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.3759564385397497,76.0,120421.1751789181,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6
5,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.9092398982274,0.8805555555555555,0.37566433427099194,76.0,120563.10348976927,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6222222222222222
6,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822751,0.8805555555555555,0.3164220872240632,76.0,117802.45672365771,1,3202.220632439111,2,5543.945991974154,412.3553057760516,3202.220632439111,0.6
7,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822737,0.8805555555555555,0.38086188476164223,76.0,120699.41842030101,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6
8,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822748,0.8805555555555555,0.3767779837657145,76.0,120657.14096646832,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6
9,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227476,0.8805555555555555,0.3363171454135017,76.0,118428.1007873008,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6444444444444445
10,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822745,0.8805555555555555,0.3435099636211808,76.0,118948.19666581393,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6444444444444445
11,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.330198281648026,76.0,119234.81642776557,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6222222222222222
12,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822737,0.8805555555555555,0.35219484571695975,76.0,118706.51894418828,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6888888888888889
13,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227405,0.8805555555555555,0.3555958671974687,76.0,119042.4090580176,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6666666666666666
14,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.34636808622024173,76.0,119371.30627380189,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.6444444444444445
15,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.9092398982274,0.8805555555555555,0.30263028575010054,76.0,118440.55376878419,1,3202.220632439111,2,5543.945991974154,412.3553057760516,3202.220632439111,0.6222222222222222
16,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227426,0.8805555555555555,0.3691050460572275,76.0,120488.52237112999,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.7777777777777778
17,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227476,0.8805555555555555,0.3728968427843976,76.0,120672.72813581386,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.8
18,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822742,0.8805555555555555,0.29698573758146046,76.0,118532.36918466676,1,3202.220632439111,2,5543.945991974154,294.4695548715736,3202.220632439111,0.6
19,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822738,0.8805555555555555,0.3542327169113605,76.0,120909.23500279688,1,3202.220632439111,2,6117.781690901911,294.4695548715736,3202.220632439111,0.7555555555555555
20,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227405,0.8805555555555555,0.35394061264260274,76.0,121051.16331364805,1,3202.220632439111,2,6117.781690901911,294.4695548715736,3202.220632439111,0.7777777777777778
21,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822735,0.8805555555555555,0.3134607883762963,76.0,118842.63600253868,1,3202.220632439111,2,5543.945991974154,412.3553057760516,3202.220632439111,0.6222222222222222
22,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822748,0.8805555555555555,0.3779005859138754,76.0,121739.59769918195,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.8
23,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.37381668491794756,76.0,121697.32024534928,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.8
24,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227504,0.8805555555555555,0.3738572796573453,76.0,120839.7587883661,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.7777777777777778
25,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227526,0.8805555555555555,0.3810500978650244,76.0,121359.85466687926,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.7777777777777778
26,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822739,0.8805555555555555,0.3677384158918697,76.0,121646.47442883089,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.8
27,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822757,0.8805555555555555,0.37750851965717247,76.0,121065.0782354639,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.8
28,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822737,0.8805555555555555,0.38090954113768144,76.0,121400.96834929321,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.7777777777777778
29,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822742,0.8805555555555555,0.3716817601604545,76.0,121729.86556507752,1,3202.220632439111,2,6117.781690901911,412.3553057760516,3202.220632439111,0.8
30,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.3126429046105829,76.0,117378.87056620192,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.6
31,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822737,0.8805555555555555,0.37911766491771,76.0,119426.83916854773,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.5111111111111111
32,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822748,0.8805555555555555,0.38290946164488,76.0,119611.04493323159,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.5333333333333333
33,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227426,0.8805555555555555,0.2976869625447086,76.0,116879.12894254514,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.5777777777777777
34,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822748,0.8805555555555555,0.3175820207341471,76.0,117504.7730061882,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.5111111111111111
35,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822746,0.8805555555555555,0.33345972103760513,76.0,117783.19116307568,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.5333333333333333
36,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.909239898227476,0.8805555555555555,0.3164493853253309,76.0,117431.24839754733,1,3202.220632439111,2,5543.945991974154,239.02331360824977,3202.220632439111,0.6
37,2.8,4.844444444444445,0.3111111111111111,0.3191489361702128,1,2,5,48.90923989822747,0.8805555555555555,0.34124988973666204,76.0,118335.13570257327,1,3202.220632439111,2,6117.781690901911,239.02331360824977,3202.220632439111,0.5111111111111111
