,Average degree,Degree variance,Density,Transitivity,Node connectivity,Edge connectivity,Cycle basis,Estrada index,Average clustering by hops,Average clustering by length,Wiener index by hops,Wiener index by length,Radius by hops,Radius by length,Diameter by hops,Diameter by length,Min length,Max length,Blocking coefficient
0,2,0,0.2222222222222222,0,2,2,1,22.795859057288414,0.0,0.0,125.0,121233.68020498614,5,4493.64971435208,5,4918.3047489163655,412.3553057760516,1639.3350026112998,1.0
1,2,0,0.2222222222222222,0,2,2,1,22.795859057288432,0.0,0.0,125.0,122528.20178101806,5,4493.64971435208,5,5011.370882134224,412.3553057760516,1882.4166941266697,1.0
2,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,125641.42082653882,5,4146.134401151953,5,5146.577343798724,412.3553057760516,2352.2658182999085,1.0
3,2,0,0.2222222222222222,0,2,2,1,22.795859057288425,0.0,0.0,125.0,148055.84353912968,5,5146.577343798723,5,6158.747635584308,412.3553057760516,2352.2658182999085,1.0
4,2,0,0.2222222222222222,0,2,2,1,22.795859057288432,0.0,0.0,125.0,127217.92731676713,5,4146.134401151953,5,5175.779867415689,412.3553057760516,2619.3099465359364,1.0
5,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,147666.18200901334,5,5146.577343798723,5,6066.744826410025,412.3553057760516,2619.3099465359364,1.0
6,2,0,0.2222222222222222,0,2,2,1,22.79585905728843,0.0,0.0,125.0,117579.27048689529,5,4299.828329005495,5,4801.165516489539,412.3553057760516,1639.3350026112998,1.0
7,2,0,0.2222222222222222,0,2,2,1,22.795859057288443,0.0,0.0,125.0,120292.84687888317,5,4528.811264219624,5,4930.7243076292725,412.3553057760516,1882.4166941266697,1.0
8,2,0,0.2222222222222222,0,2,2,1,22.795859057288446,0.0,0.0,125.0,128078.33605680738,5,4146.134401151953,5,5181.738893666267,412.3553057760516,2352.2658182999085,1.0
9,2,0,0.2222222222222222,0,2,2,1,22.795859057288425,0.0,0.0,125.0,148566.06227710698,5,5181.738893666266,5,6168.146266830923,412.3553057760516,2352.2658182999085,1.0
10,2,0,0.2222222222222222,0,2,2,1,22.795859057288432,0.0,0.0,125.0,128274.20468261783,5,4146.134401151953,5,5268.788120468894,412.3553057760516,2619.3099465359364,1.0
11,2,0,0.2222222222222222,0,2,2,1,22.795859057288432,0.0,0.0,125.0,150169.55115030278,5,5181.738893666266,5,6303.094347602909,412.3553057760516,2619.3099465359364,1.0
12,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,101607.92424030049,5,3434.0680804102753,5,4146.134401151954,412.3553057760516,1639.3350026112998,1.0
13,2,0,0.2222222222222222,0,2,2,1,22.795859057288435,0.0,0.0,125.0,124600.93723456237,5,4468.374307544291,5,5225.254877908782,412.3553057760516,1882.4166941266697,1.0
14,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,107396.84389491018,5,3474.302403432903,5,4322.412870425557,412.3553057760516,1882.4166941266697,1.0
15,2,0,0.2222222222222222,0,2,2,1,22.795859057288425,0.0,0.0,125.0,128035.1139022677,5,4502.306803026719,5,5350.417270019373,412.3553057760516,1882.4166941266697,1.0
16,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,133282.2105128664,5,4398.805180538757,5,5522.903181611364,412.3553057760516,2619.3099465359364,1.0
17,2,0,0.2222222222222222,0,2,2,1,22.79585905728842,0.0,0.0,125.0,134336.83846966858,5,4583.010945222639,5,5582.470419783796,412.3553057760516,2619.3099465359364,1.0
18,2,0,0.2222222222222222,0,2,2,1,22.795859057288446,0.0,0.0,125.0,104565.1686254769,5,3657.259134674295,5,4288.831346418057,412.3553057760516,1514.219185226457,1.0
19,2,0,0.2222222222222222,0,2,2,1,22.795859057288432,0.0,0.0,125.0,126048.8220100865,5,4524.831833208363,5,5260.91660492597,412.3553057760516,1639.3350026112998,1.0
20,2,0,0.2222222222222222,0,2,2,1,22.79585905728841,0.0,0.0,125.0,109032.12651176091,5,3716.1350615057822,5,4452.088347303169,412.3553057760516,1573.095112057944,1.0
21,2,0,0.2222222222222222,0,2,2,1,22.795859057288418,0.0,0.0,125.0,131451.96468816884,5,4801.84602020616,5,5537.930791923767,412.3553057760516,1882.4166941266697,1.0
22,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,136524.78982382195,5,4802.3391548111,5,5574.010736964808,412.3553057760516,2352.2658182999085,1.0
23,2,0,0.2222222222222222,0,2,2,1,22.795859057288453,0.0,0.0,125.0,138519.56537099413,5,4986.544919494983,5,5667.852710466668,412.3553057760516,2352.2658182999085,1.0
24,2,0,0.2222222222222222,0,2,2,1,22.795859057288432,0.0,0.0,125.0,123551.66298398867,5,4417.246120721813,5,5189.139735652524,294.4695548715736,1782.7689479657568,1.0
25,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,126785.34800645152,5,4726.5677027905385,5,5275.975719671067,294.4695548715736,1882.4166941266697,1.0
26,2,0,0.2222222222222222,0,2,2,1,22.79585905728845,0.0,0.0,125.0,120417.40526715253,5,4246.706147299999,5,5275.975719671067,294.4695548715736,2352.2658182999085,1.0
27,2,0,0.2222222222222222,0,2,2,1,22.795859057288453,0.0,0.0,125.0,149084.7484375745,5,5330.440436836,5,6478.8805143296595,294.4695548715736,2352.2658182999085,1.0
28,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,120268.04859318092,5,4127.535642177408,5,5297.9906440858595,294.4695548715736,2619.3099465359364,1.0
29,2,0,0.2222222222222222,0,2,2,1,22.795859057288446,0.0,0.0,125.0,145671.8420238054,5,5275.975719671067,5,6169.558932260934,294.4695548715736,2619.3099465359364,1.0
30,2,0,0.2222222222222222,0,2,2,1,22.795859057288425,0.0,0.0,125.0,120704.31766502302,5,4528.811264219624,5,5019.706189337265,294.4695548715736,2352.2658182999085,1.0
31,2,0,0.2222222222222222,0,2,2,1,22.79585905728845,0.0,0.0,125.0,122373.83240830459,5,4528.811264219624,5,4987.585088908419,294.4695548715736,2619.3099465359364,1.0
32,2,0,0.2222222222222222,0,2,2,1,22.79585905728844,0.0,0.0,125.0,125703.99592421055,5,4441.975280201081,5,5082.282976604134,294.4695548715736,2352.2658182999085,1.0
33,2,0,0.2222222222222222,0,2,2,1,22.79585905728846,0.0,0.0,125.0,124128.48996527407,5,4417.246120721813,5,5269.649441831348,294.4695548715736,2619.3099465359364,1.0
