,Average degree,Degree variance,Density,Transitivity,Node connectivity,Edge connectivity,Cycle basis,Estrada index,Average clustering by hops,Average clustering by length,Wiener index by hops,Wiener index by length,Radius by hops,Radius by length,Diameter by hops,Diameter by length,Min length,Max length,Blocking coefficient
0,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544114,0.6107142857142858,0.2006139213105294,83.0,115087.51527368044,2,3278.8242364968137,3,5620.549596031857,412.3553057760516,2915.5610584628,0.8222222222222222
1,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544119,0.6107142857142858,0.2114415001637866,83.0,115772.19122607079,2,3225.227018304557,3,5566.9523778396,412.3553057760516,2915.5610584628,0.8444444444444444
2,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544121,0.6107142857142858,0.25216226977705053,83.0,119971.88082340895,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.9111111111111111
3,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544117,0.6107142857142858,0.2182589050100197,83.0,117411.42292159426,2,3172.440855841918,3,5546.756615965145,412.3553057760516,2915.5610584628,0.8444444444444444
4,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544117,0.6107142857142858,0.26915440368378984,83.0,119788.23303645515,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.9111111111111111
5,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441226,0.6107142857142858,0.2762319507386613,83.0,119972.438801139,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.9333333333333333
6,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544127,0.6107142857142858,0.1928690994470268,83.0,114737.81087127136,2,3278.8242364968137,3,5620.549596031857,412.3553057760516,2915.5610584628,0.8
7,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544115,0.6107142857142858,0.20117457788704213,83.0,115180.63418653143,2,3225.227018304557,3,5566.9523778396,412.3553057760516,2915.5610584628,0.8
8,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544122,0.6107142857142858,0.20071039973967975,83.0,117629.10202938254,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.8666666666666667
9,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544109,0.6107142857142858,0.16765060546347854,83.0,112615.30619615689,2,3320.303796659415,3,4959.793030544929,412.3553057760516,2915.5610584628,0.7333333333333333
10,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441134,0.6107142857142858,0.2185461041372488,83.0,116735.19379524712,2,3278.8242364968137,3,6194.385294959613,412.3553057760516,2915.5610584628,0.8888888888888888
11,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544122,0.6107142857142858,0.2256236511921202,83.0,117083.97963380815,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.9111111111111111
12,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.5268784354412,0.6107142857142858,0.18522143868524274,83.0,115161.67880201526,2,3278.8242364968137,3,5620.549596031857,294.4695548715736,2915.5610584628,0.8222222222222222
13,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544118,0.6107142857142858,0.20176819519143557,83.0,116911.68129793748,2,3172.440855841918,3,5546.756615965145,294.4695548715736,2915.5610584628,0.8222222222222222
14,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544111,0.6107142857142858,0.2013040170440732,83.0,117866.1668740956,2,3205.0312564301016,3,6120.592314892901,294.4695548715736,2915.5610584628,0.8666666666666667
15,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441134,0.6107142857142858,0.1614268179216389,83.0,112707.12161203948,2,3320.303796659415,3,4959.793030544929,294.4695548715736,2915.5610584628,0.7555555555555555
16,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441155,0.6107142857142858,0.20214758753490286,83.0,117155.906426914,2,3278.8242364968137,3,6194.385294959613,294.4695548715736,2915.5610584628,0.8888888888888888
17,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544113,0.6107142857142858,0.22621726849651358,83.0,118144.58503098309,2,3205.0312564301016,3,6120.592314892901,294.4695548715736,2915.5610584628,0.9111111111111111
18,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544123,0.6107142857142858,0.2142147259042731,83.0,116156.62157227752,2,3225.227018304557,3,5566.9523778396,412.3553057760516,2915.5610584628,0.8666666666666667
19,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.5268784354411,0.6107142857142858,0.22245600397045057,83.0,117463.80075293964,2,3172.440855841918,3,5546.756615965145,412.3553057760516,2915.5610584628,0.8444444444444444
20,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.5268784354412,0.6107142857142858,0.23029730426310352,83.0,118696.52957048068,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.8666666666666667
21,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441176,0.6107142857142858,0.17959252628741207,83.0,113017.3884299114,2,3320.303796659415,3,4959.793030544929,412.3553057760516,2915.5610584628,0.7333333333333333
22,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441105,0.6107142857142858,0.2311408747539332,83.0,118150.84919717624,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.8888888888888888
23,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441006,0.6107142857142858,0.24813300866067256,83.0,118790.74196268432,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.8888888888888888
24,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544115,0.6107142857142858,0.2584082080640151,83.0,119976.56813731299,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.9333333333333333
25,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544116,0.6107142857142858,0.26664948613019257,83.0,119789.76505128214,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.9111111111111111
26,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544117,0.6107142857142858,0.27495496457020796,83.0,120068.00829266504,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.9111111111111111
27,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544115,0.6107142857142858,0.22378600844715404,83.0,117086.43021248323,2,3278.8242364968137,3,6194.385294959613,412.3553057760516,2915.5610584628,0.8888888888888888
28,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441176,0.6107142857142858,0.23461358730041124,83.0,117771.10616487355,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.8888888888888888
29,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544106,0.6107142857142858,0.24143099214664435,83.0,118739.89614616592,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.8888888888888888
30,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544121,0.6107142857142858,0.20867085902890067,83.0,117055.35085369689,2,3289.741313352065,3,5631.466672887108,412.3553057760516,2915.5610584628,0.8666666666666667
31,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.526878435441134,0.6107142857142858,0.2595663577026709,83.0,120392.86234707276,2,3278.8242364968137,3,6194.385294959613,412.3553057760516,2915.5610584628,0.9333333333333333
32,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544127,0.6107142857142858,0.2666439047575423,83.0,120201.88758441081,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.9555555555555556
33,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544117,0.6107142857142858,0.21009473224884506,83.0,116723.29833883554,2,3289.741313352065,3,5631.466672887108,412.3553057760516,2915.5610584628,0.8222222222222222
34,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544115,0.6107142857142858,0.250815501862109,83.0,120389.70704799572,2,3278.8242364968137,3,6194.385294959613,412.3553057760516,2915.5610584628,0.9111111111111111
35,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544124,0.6107142857142858,0.27488518282371976,83.0,120015.08449837993,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.9333333333333333
36,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544121,0.6107142857142858,0.2075726318356032,83.0,116481.44570170526,2,3289.741313352065,3,5631.466672887108,412.3553057760516,2915.5610584628,0.8222222222222222
37,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544117,0.6107142857142858,0.2591209803021243,83.0,120292.76976203281,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.9111111111111111
38,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.5268784354412,0.6107142857142858,0.27611311420886375,83.0,120109.121975079,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.9111111111111111
39,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544117,0.6107142857142858,0.20710845368824088,83.0,118396.63265637842,2,3278.8242364968137,3,6194.385294959613,412.3553057760516,2915.5610584628,0.8666666666666667
40,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544112,0.6107142857142858,0.21793603254149801,83.0,118541.54800754573,2,3225.227018304557,3,6140.788076767357,412.3553057760516,2915.5610584628,0.8666666666666667
41,2.6,3.6000000000000005,0.28888888888888886,0.24324324324324326,1,2,4,39.52687843544113,0.6107142857142858,0.22475343738773113,83.0,118686.79743637623,2,3205.0312564301016,3,6120.592314892901,412.3553057760516,2915.5610584628,0.8666666666666667
