"Id","Lat","Long","Type"
"PortoAlegre",-30,-51.27,"EOCC"
"Florianopolis",-27.2,-48.5,"EOCC"
"SaoPaulo",-23.57,-46.67,"EOCC"
"RioDeJaneiro",-22.59,-43.26,"EOCC"
"Salvador",-12.7,-38.3,"EOCC"
"Curitiba",-25.11,-49.06,"EOCC"
"BeloHorizonte",-19.99,-43.8,"EOCC"
"Brasilia",-15.69,-47.4,"EOCC"
"Recife",-8.15,-35.8,"EOCC"
"Fortaleza",-3.9,-38.4,"EOCC"


