,mean_degree,degree_variance,density,radius_by_hops,diameter_by_hops,min_length,max_length,radius_by_length,diameter_by_length,total_data_rate,blocking_coefficient
1,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3254.0700053923974,5628.385765515624,500,0.9333333333333333
2,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3128.954188007555,5566.9523778396,500,0.9333333333333333
3,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2352.2658182999085,2927.446669429208,5832.843397035099,500,0.9333333333333333
4,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2352.2658182999085,3866.4850035263653,6793.931672955574,500,0.9333333333333333
5,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2619.3099465359364,3172.440855841918,5810.0854719568715,500,0.9333333333333333
6,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2619.3099465359364,4258.644949147236,6771.849980997332,500,0.9333333333333333
8,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3469.0363455418133,4615.673142147851,1100,0.9111111111111111
9,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3684.53568371293,4924.994724216576,1100,0.9111111111111111
10,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3100.7777238014087,4616.537528299091,1100,0.9111111111111111
11,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3728.5986506897852,5577.625804219566,1100,0.9111111111111111
12,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,3100.7777238014087,4614.9969090278655,1100,0.9111111111111111
13,2.4,1.6,0.26666666666666666,3,4,412.3553057760516,2341.725359535043,4132.132624962129,5576.761418068326,1100,0.9111111111111111
15,2.4,1.6,0.26666666666666666,3,4,294.4695548715736,2352.2658182999085,3491.1180375000554,4833.928361677943,2000,0.9111111111111111
16,2.4,1.6,0.26666666666666666,3,4,294.4695548715736,2619.3099465359364,3684.53568371293,5100.972489913971,2000,0.9111111111111111
17,2.4,1.6,0.26666666666666666,3,4,294.4695548715736,2341.725359535043,2990.1357275471682,4629.4707301584685,2000,0.9111111111111111
18,2.4,1.6,0.26666666666666666,3,4,294.4695548715736,2619.3099465359364,3728.5986506897852,5773.799331791416,2000,0.9111111111111111
19,2.4,1.6,0.26666666666666666,3,4,294.4695548715736,2341.725359535043,3045.928531656811,4663.114120837303,2000,0.9111111111111111
20,2.4,1.6,0.26666666666666666,3,4,294.4695548715736,2352.2658182999085,3906.0251065535804,5795.016637598417,2000,0.9111111111111111
