,mean_degree,degree_variance,density,radius_by_hops,diameter_by_hops,min_length,max_length,radius_by_length,diameter_by_length,total_data_rate,blocking_coefficient
551,2,0,0.2222222222222222,5,5,412.3553057760516,1639.3350026112998,4493.64971435208,4918.3047489163655,0,1.0
552,2,0,0.2222222222222222,5,5,412.3553057760516,1882.4166941266697,4493.64971435208,5011.370882134224,0,1.0
553,2,0,0.2222222222222222,5,5,412.3553057760516,2352.2658182999085,4146.134401151953,5146.577343798724,0,1.0
554,2,0,0.2222222222222222,5,5,412.3553057760516,2352.2658182999085,5146.577343798723,6158.747635584308,0,1.0
555,2,0,0.2222222222222222,5,5,412.3553057760516,2619.3099465359364,4146.134401151953,5175.779867415689,0,1.0
556,2,0,0.2222222222222222,5,5,412.3553057760516,2619.3099465359364,5146.577343798723,6066.744826410025,0,1.0
557,2,0,0.2222222222222222,5,5,412.3553057760516,1639.3350026112998,4299.828329005495,4801.165516489539,0,1.0
558,2,0,0.2222222222222222,5,5,412.3553057760516,1882.4166941266697,4528.811264219624,4930.7243076292725,0,1.0
560,2,0,0.2222222222222222,5,5,412.3553057760516,2352.2658182999085,4146.134401151953,5181.738893666267,0,1.0
561,2,0,0.2222222222222222,5,5,412.3553057760516,2352.2658182999085,5181.738893666266,6168.146266830923,0,1.0
562,2,0,0.2222222222222222,5,5,412.3553057760516,2619.3099465359364,4146.134401151953,5268.788120468894,0,1.0
563,2,0,0.2222222222222222,5,5,412.3553057760516,2619.3099465359364,5181.738893666266,6303.094347602909,0,1.0
564,2,0,0.2222222222222222,5,5,412.3553057760516,1639.3350026112998,3434.0680804102753,4146.134401151954,0,1.0
565,2,0,0.2222222222222222,5,5,412.3553057760516,1882.4166941266697,4468.374307544291,5225.254877908782,0,1.0
566,2,0,0.2222222222222222,5,5,412.3553057760516,1882.4166941266697,3474.302403432903,4322.412870425557,0,1.0
567,2,0,0.2222222222222222,5,5,412.3553057760516,1882.4166941266697,4502.306803026719,5350.417270019373,0,1.0
569,2,0,0.2222222222222222,5,5,412.3553057760516,2619.3099465359364,4398.805180538757,5522.903181611364,0,1.0
570,2,0,0.2222222222222222,5,5,412.3553057760516,2619.3099465359364,4583.010945222639,5582.470419783796,0,1.0
571,2,0,0.2222222222222222,5,5,412.3553057760516,1514.219185226457,3657.259134674295,4288.831346418057,0,1.0
572,2,0,0.2222222222222222,5,5,412.3553057760516,1639.3350026112998,4524.831833208363,5260.91660492597,0,1.0
573,2,0,0.2222222222222222,5,5,412.3553057760516,1573.095112057944,3716.1350615057822,4452.088347303169,0,1.0
574,2,0,0.2222222222222222,5,5,412.3553057760516,1882.4166941266697,4801.84602020616,5537.930791923767,0,1.0
575,2,0,0.2222222222222222,5,5,412.3553057760516,2352.2658182999085,4802.3391548111,5574.010736964808,0,1.0
576,2,0,0.2222222222222222,5,5,412.3553057760516,2352.2658182999085,4986.544919494983,5667.852710466668,0,1.0
579,2,0,0.2222222222222222,5,5,294.4695548715736,1782.7689479657568,4417.246120721813,5189.139735652524,0,1.0
580,2,0,0.2222222222222222,5,5,294.4695548715736,1882.4166941266697,4726.5677027905385,5275.975719671067,0,1.0
581,2,0,0.2222222222222222,5,5,294.4695548715736,2352.2658182999085,4246.706147299999,5275.975719671067,0,1.0
582,2,0,0.2222222222222222,5,5,294.4695548715736,2352.2658182999085,5330.440436836,6478.8805143296595,0,1.0
583,2,0,0.2222222222222222,5,5,294.4695548715736,2619.3099465359364,4127.535642177408,5297.9906440858595,0,1.0
584,2,0,0.2222222222222222,5,5,294.4695548715736,2619.3099465359364,5275.975719671067,6169.558932260934,0,1.0
588,2,0,0.2222222222222222,5,5,294.4695548715736,2352.2658182999085,4528.811264219624,5019.706189337265,0,1.0
589,2,0,0.2222222222222222,5,5,294.4695548715736,2619.3099465359364,4528.811264219624,4987.585088908419,0,1.0
590,2,0,0.2222222222222222,5,5,294.4695548715736,2352.2658182999085,4441.975280201081,5082.282976604134,0,1.0
591,2,0,0.2222222222222222,5,5,294.4695548715736,2619.3099465359364,4417.246120721813,5269.649441831348,0,1.0
