,mean_degree,degree_variance,density,radius_by_hops,diameter_by_hops,min_length,max_length,radius_by_length,diameter_by_length,total_data_rate,blocking_coefficient
16,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,4488.80509878785,5763.373881232411,0,1.0
17,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,4488.80509878785,5776.62908105289,0,1.0
18,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2352.2658182999085,4141.289785587723,5553.071620651225,0,1.0
19,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2352.2658182999085,5141.732728234492,6514.1598965717,0,1.0
20,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2619.3099465359364,4141.289785587723,5820.115748887253,0,1.0
21,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2619.3099465359364,5141.732728234492,6906.319842192572,0,1.0
22,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,4523.966648655393,5558.490820886579,0,1.0
23,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,4523.966648655393,5739.659504268468,0,1.0
25,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2352.2658182999085,4141.289785587723,5553.071620651225,0,1.0
26,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2352.2658182999085,5176.894278102036,6573.035823403187,0,1.0
27,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2619.3099465359364,4141.289785587723,5820.115748887253,0,1.0
28,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2619.3099465359364,5176.894278102036,7149.401533707941,0,1.0
29,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,3432.2647995226534,4318.011198685708,0,1.0
30,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,4466.571026656668,5314.681493649323,0,1.0
31,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,3472.4991225452804,4320.609589537935,0,1.0
32,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2341.725359535043,4500.503522139095,5348.613989131751,0,1.0
34,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2619.3099465359364,4398.805180538757,5949.306004455154,0,1.0
35,2.2,0.4,0.24444444444444444,4,5,412.3553057760516,2619.3099465359364,4583.010945222639,5890.430077623667,0,1.0
